iter	Passed	Remaining
0	6	1818
1	11	1668
2	16	1617
3	21	1577
4	26	1566
5	31	1545
6	36	1533
7	41	1529
8	46	1511
9	51	1507
10	57	1511
11	62	1504
12	67	1496
13	73	1500
14	78	1489
15	83	1478
16	88	1475
17	94	1484
18	100	1484
19	105	1472
20	110	1466
21	115	1456
22	120	1455
23	126	1455
24	132	1454
25	137	1451
26	143	1449
27	149	1448
28	155	1452
29	161	1452
30	167	1452
31	173	1456
32	181	1464
33	187	1467
34	194	1469
35	200	1466
36	206	1465
37	212	1462
38	218	1460
39	224	1458
40	230	1457
41	237	1457
42	242	1452
43	248	1447
44	255	1445
45	261	1441
46	266	1435
47	272	1429
48	278	1426
49	284	1422
50	290	1419
51	296	1414
52	302	1410
53	309	1410
54	316	1411
55	323	1410
56	330	1410
57	337	1408
58	344	1408
59	350	1403
60	357	1400
61	364	1398
62	372	1399
63	378	1396
64	386	1396
65	393	1394
66	400	1391
67	407	1390
68	413	1385
69	419	1378
70	425	1373
71	431	1365
72	437	1359
73	443	1354
74	449	1349
75	455	1342
76	462	1340
77	469	1336
78	476	1331
79	483	1329
80	489	1324
81	496	1318
82	501	1312
83	508	1307
84	514	1300
85	520	1294
86	526	1288
87	533	1284
88	539	1279
89	546	1274
90	552	1268
91	558	1262
92	565	1257
93	571	1251
94	577	1245
95	583	1239
96	589	1233
97	595	1227
98	601	1220
99	607	1215
100	613	1208
101	620	1204
102	625	1196
103	631	1190
104	637	1183
105	643	1177
106	649	1171
107	656	1166
108	662	1160
109	668	1155
110	675	1149
111	681	1143
112	687	1137
113	693	1132
114	700	1127
115	706	1121
116	713	1116
117	719	1109
118	725	1102
119	730	1096
120	737	1090
121	743	1084
122	748	1077
123	754	1071
124	760	1065
125	767	1059
126	773	1053
127	779	1047
128	785	1040
129	791	1034
130	797	1028
131	803	1022
132	809	1016
133	815	1010
134	822	1005
135	828	998
136	834	992
137	839	985
138	845	979
139	851	973
140	857	966
141	862	959
142	867	952
143	873	946
144	879	939
145	884	933
146	890	927
147	896	920
148	901	913
149	907	907
150	913	901
151	919	894
152	924	888
153	930	882
154	936	876
155	942	869
156	948	863
157	953	857
158	959	851
159	966	845
160	972	839
161	978	833
162	984	827
163	992	822
164	999	817
165	1006	812
166	1012	806
167	1019	800
168	1025	795
169	1032	789
170	1038	783
171	1044	777
172	1050	771
173	1057	765
174	1063	759
175	1069	753
176	1075	747
177	1081	741
178	1087	735
179	1093	729
180	1100	723
181	1107	717
182	1113	711
183	1119	705
184	1125	699
185	1132	693
186	1138	688
187	1145	682
188	1153	677
189	1160	672
190	1167	666
191	1174	660
192	1180	654
193	1187	648
194	1193	642
195	1200	636
196	1206	631
197	1213	625
198	1220	619
199	1226	613
200	1232	607
201	1239	601
202	1245	595
203	1252	589
204	1258	583
205	1264	577
206	1270	570
207	1276	564
208	1282	558
209	1289	552
210	1295	546
211	1302	540
212	1308	534
213	1314	528
214	1321	522
215	1327	516
216	1334	510
217	1340	504
218	1346	498
219	1353	492
220	1358	485
221	1364	479
222	1370	473
223	1376	467
224	1382	460
225	1389	454
226	1395	448
227	1402	442
228	1408	436
229	1414	430
230	1420	424
231	1426	418
232	1432	411
233	1438	405
234	1444	399
235	1450	393
236	1456	387
237	1462	381
238	1468	374
239	1475	368
240	1481	362
241	1488	356
242	1493	350
243	1499	344
244	1505	337
245	1511	331
246	1517	325
247	1524	319
248	1530	313
249	1536	307
250	1542	301
251	1549	295
252	1554	288
253	1560	282
254	1566	276
255	1571	270
256	1577	263
257	1583	257
258	1589	251
259	1595	245
260	1601	239
261	1607	233
262	1613	226
263	1619	220
264	1626	214
265	1632	208
266	1638	202
267	1661	198
268	1667	192
269	1673	185
270	1679	179
271	1685	173
272	1691	167
273	1697	161
274	1704	154
275	1710	148
276	1717	142
277	1723	136
278	1728	130
279	1734	123
280	1741	117
281	1747	111
282	1753	105
283	1759	99
284	1765	92
285	1771	86
286	1778	80
287	1784	74
288	1791	68
289	1797	61
290	1803	55
291	1809	49
292	1815	43
293	1821	37
294	1827	30
295	1834	24
296	1840	18
297	1846	12
298	1852	6
299	1858	0
