iter	Passed	Remaining
0	6	1896
1	11	1724
2	16	1678
3	22	1673
4	27	1616
5	32	1584
6	37	1565
7	42	1534
8	46	1507
9	52	1508
10	57	1510
11	62	1506
12	67	1499
13	72	1485
14	77	1473
15	82	1463
16	87	1463
17	93	1469
18	99	1465
19	104	1457
20	109	1460
21	115	1454
22	121	1462
23	127	1464
24	132	1461
25	138	1457
26	144	1461
27	149	1454
28	155	1450
29	160	1447
30	166	1444
31	172	1440
32	177	1438
33	183	1438
34	189	1438
35	195	1435
36	201	1432
37	207	1429
38	213	1428
39	219	1424
40	225	1422
41	231	1421
42	237	1418
43	243	1414
44	249	1413
45	255	1409
46	260	1401
47	266	1396
48	271	1393
49	278	1392
50	284	1388
51	290	1385
52	296	1382
53	302	1380
54	308	1375
55	314	1371
56	320	1368
57	327	1366
58	333	1362
59	338	1355
60	345	1352
61	350	1346
62	356	1342
63	362	1335
64	368	1333
65	375	1329
66	380	1323
67	386	1319
68	392	1315
69	398	1310
70	405	1307
71	411	1301
72	417	1297
73	423	1293
74	429	1289
75	435	1282
76	441	1278
77	447	1274
78	453	1269
79	460	1265
80	466	1262
81	472	1257
82	478	1251
83	485	1247
84	491	1242
85	497	1237
86	503	1233
87	510	1229
88	516	1225
89	523	1222
90	530	1217
91	536	1212
92	542	1206
93	548	1201
94	554	1196
95	561	1193
96	567	1187
97	574	1183
98	579	1176
99	585	1171
100	592	1166
101	597	1160
102	604	1155
103	610	1151
104	617	1146
105	623	1140
106	629	1135
107	635	1130
108	641	1123
109	647	1118
110	653	1112
111	659	1107
112	666	1102
113	672	1096
114	678	1091
115	684	1086
116	690	1080
117	696	1073
118	701	1067
119	707	1061
120	713	1055
121	719	1049
122	725	1043
123	731	1037
124	737	1032
125	743	1026
126	749	1021
127	755	1015
128	762	1010
129	768	1004
130	774	999
131	780	993
132	786	988
133	793	982
134	799	977
135	805	971
136	812	966
137	818	961
138	824	955
139	830	949
140	836	943
141	842	937
142	848	931
143	855	926
144	861	920
145	867	915
146	873	909
147	880	904
148	885	897
149	891	891
150	897	885
151	902	878
152	908	872
153	914	866
154	920	860
155	926	854
156	932	849
157	938	843
158	944	837
159	950	831
160	956	826
161	963	820
162	969	814
163	975	809
164	981	803
165	988	797
166	994	791
167	1000	786
168	1007	780
169	1013	774
170	1019	769
171	1025	763
172	1031	757
173	1038	751
174	1043	745
175	1049	739
176	1056	733
177	1062	728
178	1068	722
179	1074	716
180	1080	710
181	1087	704
182	1093	699
183	1099	692
184	1105	686
185	1111	680
186	1117	675
187	1123	669
188	1129	663
189	1135	657
190	1141	651
191	1147	645
192	1153	639
193	1159	633
194	1165	627
195	1172	621
196	1178	616
197	1184	610
198	1190	604
199	1196	598
200	1202	592
201	1208	586
202	1214	580
203	1220	574
204	1226	568
205	1232	562
206	1238	556
207	1244	550
208	1250	544
209	1256	538
210	1263	532
211	1268	526
212	1275	520
213	1281	514
214	1287	509
215	1293	503
216	1299	497
217	1305	491
218	1311	485
219	1317	479
220	1322	472
221	1328	466
222	1333	460
223	1339	454
224	1345	448
225	1352	442
226	1358	436
227	1364	431
228	1371	425
229	1377	419
230	1383	413
231	1389	407
232	1395	401
233	1401	395
234	1407	389
235	1414	383
236	1419	377
237	1425	371
238	1431	365
239	1437	359
240	1443	353
241	1450	347
242	1455	341
243	1461	335
244	1467	329
245	1473	323
246	1478	317
247	1484	311
248	1490	305
249	1496	299
250	1502	293
251	1508	287
252	1515	281
253	1521	275
254	1527	269
255	1532	263
256	1538	257
257	1544	251
258	1550	245
259	1557	239
260	1563	233
261	1570	227
262	1576	221
263	1582	215
264	1588	209
265	1594	203
266	1601	197
267	1607	191
268	1613	185
269	1619	179
270	1625	173
271	1631	167
272	1638	162
273	1644	156
274	1650	150
275	1656	144
276	1662	138
277	1667	131
278	1673	125
279	1679	119
280	1685	113
281	1691	107
282	1698	102
283	1704	96
284	1711	90
285	1717	84
286	1723	78
287	1729	72
288	1736	66
289	1742	60
290	1748	54
291	1754	48
292	1760	42
293	1766	36
294	1772	30
295	1778	24
296	1784	18
297	1789	12
298	1795	6
299	1801	0
